plate_width_mm,upper_plate_height_mm,lower_plate_slant_mm,thickness_mm,mass_kg,mode1_hz,mode2_hz,mode3_hz,safe
60,62,60,14,0.000868,6653.43,7646.03,9542.72,1
60,62,70,6,0.000423,2416.6,3492.24,7120.12,1
60,62,70,8,0.000564,3075.86,4103.69,7302.59,1
60,62,70,10,0.000705,3693.47,4660.71,7404.16,1
60,62,70,12,0.000846,4219.69,5106.92,7424.95,1
60,62,70,14,0.000987,4846.19,5797.48,7517.12,1
60,62,80,6,0.000478,1938.06,2875.24,5776.93,1
60,62,80,8,0.000637,2276.11,3222.28,5793.1,1
60,62,80,10,0.000797,2779.3,3788.4,5956.26,1
60,62,80,12,0.000956,3179.94,4157.89,6007.39,1
60,62,80,14,0.001116,3459.22,4313.97,6020.24,1
60,62,90,6,0.000537,1564.22,2476.47,4783.03,1
60,62,90,8,0.000716,1798.6,2671.07,4766.95,1
60,62,90,10,0.000895,2209.41,3142.01,4910.24,1
60,62,90,12,0.001074,2482.82,3407.24,4956.76,1
60,62,90,14,0.001254,2815.41,3679.41,4983.98,1
60,62,100,6,0.0006,1217.11,1994.23,3987.34,1
60,62,100,8,0.000801,1467.65,2240.08,4042.04,1
60,62,100,10,0.001001,1761.94,2540.11,4079.42,1
60,62,100,12,0.001201,1995.68,2847.16,4080.49,1
60,62,100,14,0.001401,2159.59,3006.6,4112.6,1
60,75,60,6,0.000406,3499.44,4637.18,9037.16,1
60,75,60,8,0.000542,4148.25,5163.01,9260.12,1
60,75,60,10,0.000677,5273.33,6342.13,9563.99,1
60,75,60,12,0.000812,6008.78,6939.35,9667.24,1
60,75,60,14,0.000948,6952.0,8029.69,9762.13,1
60,75,70,6,0.000457,2448.84,3512.74,7121.98,1
60,75,70,8,0.00061,3074.32,4101.7,7370.21,1
60,75,70,10,0.000762,3675.46,4703.35,7338.93,1
60,75,70,12,0.000914,4242.39,5170.87,7532.02,1
60,75,70,14,0.001067,4739.69,5785.36,7628.65,1
60,75,80,6,0.000512,1894.12,2849.83,5744.25,1
60,75,80,8,0.000683,2315.92,3320.5,5834.75,1
60,75,80,10,0.000854,2789.86,3755.4,6020.8,1
60,75,80,12,0.001024,3160.31,4098.39,6035.78,1
60,75,80,14,0.001195,3508.38,4376.96,6056.81,1
60,75,90,6,0.000571,1591.09,2425.2,4810.55,1
60,75,90,8,0.000762,1799.33,2762.07,4792.11,1
60,75,90,10,0.000952,2253.21,3243.3,4953.74,1
60,75,90,12,0.001143,2460.78,3451.38,4984.08,1
60,75,90,14,0.001333,2763.71,3670.15,4974.51,1
60,75,100,6,0.000635,1297.04,2056.47,4031.79,1
60,75,100,8,0.000846,1518.76,2326.67,4064.1,1
60,75,100,10,0.001058,1697.26,2594.72,4133.0,1
60,75,100,12,0.001269,2012.04,2957.68,4189.14,1
60,75,100,14,0.001481,2312.32,3189.61,4202.23,1
60,88,60,6,0.00044,3497.4,4621.31,9050.82,1
60,88,60,8,0.000587,4185.09,5172.72,9294.45,1
60,88,60,10,0.000734,5206.92,6391.71,9643.86,1
60,88,60,12,0.000881,6068.61,7072.92,9771.39,1
60,88,60,14,0.001027,6976.16,8062.06,9798.51,1
60,88,70,6,0.000491,2512.36,3546.2,7135.89,1
60,88,70,8,0.000655,3069.27,4085.34,7343.89,1
60,88,70,10,0.000819,3689.19,4709.32,7495.71,1
60,88,70,12,0.000983,4220.86,5236.89,7520.94,1
60,88,70,14,0.001146,4919.2,5882.38,7697.67,1
60,88,80,6,0.000546,1970.77,2931.77,5863.86,1
60,88,80,8,0.000729,2281.35,3316.62,5885.88,1
60,88,80,10,0.000911,2752.06,3738.8,6031.02,1
60,88,80,12,0.001093,3187.08,4131.34,6037.81,1
60,88,80,14,0.001275,3520.89,4398.18,6089.85,1
